Year,Amount,Adj. Amount,Dividend Type,Frequency,Ex-Div Date,Record Date,Pay Date,Declare Date,
2025,,,,,,,,,
,1.6400,1.6400,Regular,Quarterly,4/15/2025,4/15/2025,5/15/2025,2/13/2025,
,1.6400,1.6400,Regular,Quarterly,1/15/2025,1/15/2025,2/14/2025,10/30/2024,
2024,,,,,,,,,
,1.5500,1.5500,Regular,Quarterly,10/15/2024,10/15/2024,11/15/2024,9/6/2024,
,1.5500,1.5500,Regular,Quarterly,7/15/2024,7/15/2024,8/15/2024,6/20/2024,
,1.5500,1.5500,Regular,Quarterly,4/12/2024,4/15/2024,5/15/2024,2/15/2024,
,1.5500,1.5500,Regular,Quarterly,1/12/2024,1/16/2024,2/15/2024,10/27/2023,
2023,,,,,,,,,
,1.4800,1.4800,Regular,Quarterly,10/12/2023,10/13/2023,11/15/2023,9/8/2023,
,1.4800,1.4800,Regular,Quarterly,7/13/2023,7/14/2023,8/15/2023,6/22/2023,
,1.4800,1.4800,Regular,Quarterly,4/13/2023,4/14/2023,5/15/2023,2/16/2023,
,1.4800,1.4800,Regular,Quarterly,1/12/2023,1/13/2023,2/15/2023,10/28/2022,
2022,,,,,,,,,
,1.4100,1.4100,Regular,Quarterly,10/13/2022,10/14/2022,11/15/2022,9/9/2022,
,1.4100,1.4100,Regular,Quarterly,7/14/2022,7/15/2022,8/15/2022,6/23/2022,
,1.4100,1.4100,Regular,Quarterly,4/13/2022,4/15/2022,5/16/2022,2/17/2022,
,1.4100,1.4100,Regular,Quarterly,1/13/2022,1/14/2022,2/15/2022,10/29/2021,
2021,,,,,,,,,
,1.3000,1.3000,Regular,Quarterly,10/14/2021,10/15/2021,11/15/2021,9/10/2021,
,1.3000,1.3000,Regular,Quarterly,7/14/2021,7/15/2021,8/16/2021,6/17/2021,
,1.3000,1.3000,Regular,Quarterly,4/14/2021,4/15/2021,5/14/2021,2/18/2021,
,1.3000,1.3000,Regular,Quarterly,1/14/2021,1/15/2021,2/16/2021,10/30/2020,
2020,,,,,,,,,
,1.1800,1.1800,Regular,Quarterly,10/14/2020,10/15/2020,11/16/2020,9/11/2020,
,1.1800,1.1800,Regular,Quarterly,7/14/2020,7/15/2020,8/14/2020,6/17/2020,
,1.1800,1.1800,Regular,Quarterly,4/14/2020,4/15/2020,5/15/2020,2/20/2020,
,1.1800,1.1800,Regular,Quarterly,1/14/2020,1/15/2020,2/14/2020,11/1/2019,
2019,,,,,,,,,
,1.0700,1.0700,Regular,Quarterly,10/11/2019,10/15/2019,11/15/2019,9/6/2019,
,1.0700,1.0700,Regular,Quarterly,7/12/2019,7/15/2019,8/15/2019,6/20/2019,
,1.0700,1.0700,Regular,Quarterly,4/12/2019,4/15/2019,5/15/2019,2/21/2019,
,1.0700,1.0700,Regular,Quarterly,1/14/2019,1/15/2019,2/15/2019,11/2/2018,
2018,,,,,,,,,
,0.9600,0.9600,Regular,Quarterly,10/12/2018,10/15/2018,11/15/2018,9/7/2018,
,0.9600,0.9600,Regular,Quarterly,7/12/2018,7/13/2018,8/15/2018,6/14/2018,
,0.9600,0.9600,Regular,Quarterly,4/12/2018,4/13/2018,5/15/2018,2/15/2018,
,0.7100,0.7100,Regular,Quarterly,1/11/2018,1/12/2018,2/15/2018,10/27/2017,
2017,,,,,,,,,
,0.6400,0.6400,Regular,Quarterly,10/12/2017,10/13/2017,11/15/2017,9/8/2017,
,0.6237,0.6237,Regular,Quarterly,7/12/2017,7/11/2017,8/21/2017,8/17/2017,
,0.6400,0.6400,Regular,Quarterly,4/11/2017,4/13/2017,5/15/2017,2/16/2017,
,0.6400,0.6400,Regular,Quarterly,1/11/2017,1/13/2017,2/15/2017,10/28/2016,
2016,,,,,,,,,
,0.5700,0.5700,Regular,Quarterly,10/12/2016,10/14/2016,11/15/2016,9/9/2016,
,0.5700,0.5700,Regular,Quarterly,7/13/2016,7/15/2016,8/15/2016,6/16/2016,
,0.5700,0.5700,Regular,Quarterly,4/13/2016,4/15/2016,5/16/2016,2/18/2016,
,0.5700,0.5700,Regular,Quarterly,1/13/2016,1/15/2016,2/16/2016,10/30/2015,
2015,,,,,,,,,
,0.5100,0.5100,Regular,Quarterly,10/13/2015,10/15/2015,11/14/2015,9/11/2015,
,0.5100,0.5100,Regular,Quarterly,7/13/2015,7/15/2015,8/14/2015,6/18/2015,
,0.5100,0.5100,Regular,Quarterly,4/13/2015,4/15/2015,5/15/2015,2/19/2015,
,0.4900,0.4900,Regular,Quarterly,1/13/2015,1/15/2015,2/13/2015,10/20/2014,
2014,,,,,,,,,
,0.4200,0.4200,Regular,Quarterly,10/10/2014,10/15/2014,11/17/2014,9/19/2014,
,0.4200,0.4200,Regular,Quarterly,7/11/2014,7/15/2014,8/15/2014,6/19/2014,
,0.4200,0.4200,Regular,Quarterly,4/11/2014,4/15/2014,5/15/2014,2/20/2014,
,0.4000,0.4000,Regular,Quarterly,1/13/2014,1/15/2014,2/14/2014,12/12/2013,
2013,,,,,,,,,
,0.4000,0.4000,Regular,Quarterly,10/10/2013,10/15/2013,11/15/2013,9/19/2013,
,0.4000,0.4000,Regular,Quarterly,7/11/2013,7/15/2013,8/15/2013,6/20/2013,
,0.4000,0.4000,Regular,Quarterly,4/11/2013,4/15/2013,5/15/2013,2/15/2013,
,0.4000,0.4000,Regular,Other,1/11/2013,1/15/2013,2/15/2013,1/4/2013,